fips,date,model_abbr,forecast_date,weekly_new_cases_0.01,weekly_new_cases_0.025,weekly_new_cases_0.05,weekly_new_cases_0.1,weekly_new_cases_0.15,weekly_new_cases_0.2,weekly_new_cases_0.25,weekly_new_cases_0.3,weekly_new_cases_0.35,weekly_new_cases_0.4,weekly_new_cases_0.45,weekly_new_cases_0.5,weekly_new_cases_0.55,weekly_new_cases_0.6,weekly_new_cases_0.65,weekly_new_cases_0.7,weekly_new_cases_0.75,weekly_new_cases_0.8,weekly_new_cases_0.85,weekly_new_cases_0.9,weekly_new_cases_0.95,weekly_new_cases_0.975,weekly_new_cases_0.99,weekly_new_deaths_0.01,weekly_new_deaths_0.025,weekly_new_deaths_0.05,weekly_new_deaths_0.1,weekly_new_deaths_0.15,weekly_new_deaths_0.2,weekly_new_deaths_0.25,weekly_new_deaths_0.3,weekly_new_deaths_0.35,weekly_new_deaths_0.4,weekly_new_deaths_0.45,weekly_new_deaths_0.5,weekly_new_deaths_0.55,weekly_new_deaths_0.6,weekly_new_deaths_0.65,weekly_new_deaths_0.7,weekly_new_deaths_0.75,weekly_new_deaths_0.8,weekly_new_deaths_0.85,weekly_new_deaths_0.9,weekly_new_deaths_0.95,weekly_new_deaths_0.975,weekly_new_deaths_0.99
01039,2020-11-23,COVIDhub-ensemble,2020-11-02,,36,,51,,,67,,,,,104,,,,,169,,,198,,232,,,,,,,,,,,,,,,,,,,,,,,,
01039,2020-11-30,COVIDhub-ensemble,2020-11-02,,30,,42,,,65,,,,,108,,,,,176,,,207,,232,,,,,,,,,,,,,,,,,,,,,,,,
01041,2020-11-09,COVIDhub-ensemble,2020-11-02,,1,,2,,,7,,,,,14,,,,,20,,,25,,35,,,,,,,,,,,,,,,,,,,,,,,,
01041,2020-11-16,COVIDhub-ensemble,2020-11-02,,0,,1,,,5,,,,,14,,,,,23,,,29,,40,,,,,,,,,,,,,,,,,,,,,,,,
01041,2020-11-23,COVIDhub-ensemble,2020-11-02,,0,,0,,,4,,,,,14,,,,,22,,,27,,37,,,,,,,,,,,,,,,,,,,,,,,,
01041,2020-11-30,COVIDhub-ensemble,2020-11-02,,0,,0,,,4,,,,,14,,,,,23,,,32,,46,,,,,,,,,,,,,,,,,,,,,,,,
01043,2020-11-09,COVIDhub-ensemble,2020-11-02,,209,,282,,,307,,,,,344,,,,,365,,,400,,457,,,,,,,,,,,,,,,,,,,,,,,,
01043,2020-11-16,COVIDhub-ensemble,2020-11-02,,176,,222,,,299,,,,,349,,,,,390,,,431,,528,,,,,,,,,,,,,,,,,,,,,,,,
01043,2020-11-23,COVIDhub-ensemble,2020-11-02,,141,,194,,,290,,,,,373,,,,,420,,,480,,580,,,,,,,,,,,,,,,,,,,,,,,,
01043,2020-11-30,COVIDhub-ensemble,2020-11-02,,123,,174,,,276,,,,,387,,,,,450,,,530,,640,,,,,,,,,,,,,,,,,,,,,,,,
01045,2020-11-09,COVIDhub-ensemble,2020-11-02,,40,,76,,,110,,,,,152,,,,,187,,,215,,256,,,,,,,,,,,,,,,,,,,,,,,,
01045,2020-11-16,COVIDhub-ensemble,2020-11-02,,51,,69,,,98,,,,,154,,,,,190,,,227,,254,,,,,,,,,,,,,,,,,,,,,,,,
01045,2020-11-23,COVIDhub-ensemble,2020-11-02,,25,,52,,,89,,,,,154,,,,,215,,,260,,317,,,,,,,,,,,,,,,,,,,,,,,,
01045,2020-11-30,COVIDhub-ensemble,2020-11-02,,37,,52,,,75,,,,,147,,,,,224,,,281,,345,,,,,,,,,,,,,,,,,,,,,,,,
01047,2020-11-09,COVIDhub-ensemble,2020-11-02,,1,,12,,,21,,,,,40,,,,,52,,,65,,83,,,,,,,,,,,,,,,,,,,,,,,,
01047,2020-11-16,COVIDhub-ensemble,2020-11-02,,3,,11,,,19,,,,,38,,,,,59,,,69,,79,,,,,,,,,,,,,,,,,,,,,,,,
01047,2020-11-23,COVIDhub-ensemble,2020-11-02,,0,,9,,,19,,,,,39,,,,,61,,,70,,80,,,,,,,,,,,,,,,,,,,,,,,,
01047,2020-11-30,COVIDhub-ensemble,2020-11-02,,1,,9,,,18,,,,,39,,,,,59,,,69,,80,,,,,,,,,,,,,,,,,,,,,,,,
01049,2020-11-09,COVIDhub-ensemble,2020-11-02,,152,,195,,,216,,,,,265,,,,,293,,,324,,369,,,,,,,,,,,,,,,,,,,,,,,,
01049,2020-11-16,COVIDhub-ensemble,2020-11-02,,117,,166,,,201,,,,,267,,,,,306,,,346,,389,,,,,,,,,,,,,,,,,,,,,,,,
01049,2020-11-23,COVIDhub-ensemble,2020-11-02,,82,,142,,,193,,,,,272,,,,,319,,,367,,409,,,,,,,,,,,,,,,,,,,,,,,,
01049,2020-11-30,COVIDhub-ensemble,2020-11-02,,68,,128,,,182,,,,,272,,,,,331,,,374,,439,,,,,,,,,,,,,,,,,,,,,,,,
01051,2020-11-09,COVIDhub-ensemble,2020-11-02,,42,,74,,,88,,,,,106,,,,,126,,,139,,185,,,,,,,,,,,,,,,,,,,,,,,,
01051,2020-11-16,COVIDhub-ensemble,2020-11-02,,34,,53,,,70,,,,,107,,,,,128,,,138,,186,,,,,,,,,,,,,,,,,,,,,,,,
01051,2020-11-23,COVIDhub-ensemble,2020-11-02,,31,,45,,,70,,,,,103,,,,,130,,,143,,185,,,,,,,,,,,,,,,,,,,,,,,,
01051,2020-11-30,COVIDhub-ensemble,2020-11-02,,25,,42,,,65,,,,,104,,,,,132,,,145,,186,,,,,,,,,,,,,,,,,,,,,,,,
